Social Concept,Concept ID,# Artwork Matches,# Related Tags,Avg. Freq. of Related Tags,# CO Objects,# CO Actions,Top 10 Objects,Avg_Freq_Top_Objects,Top 10 Actions,Avg_Freq_Top_Actions
prostitution , 1113 , 32 , 347 , 2.847262247838617 , 73 , 14 , woman man clothing and personal effects female furnishings hat reading writing printed matter fine arts and music bed couch , 9.8 , sitting standing watching reclining talking embracing kneeling walking pointing pleading , 3.5
victim , 7076 , 32 , 249 , 3.0481927710843375 , 38 , 16 , man woman male clothing and personal effects figure horse religious and ceremonial weapons boy fine arts and music , 4.8 , looking up standing shouting lying down embracing hands clasped fleeing hand/hands raised running sitting , 2.4
existence , 5587 , 31 , 257 , 3.2840466926070038 , 58 , 8 , clothing and personal effects woman female fine art and design named works jewellery man furnishings religious and ceremonial cross male , 7.9 , carrying kneeling crouching standing smiling walking sitting head in hand/hands , 2.25
refugee , 4384 , 30 , 166 , 5.210843373493976 , 23 , 7 , fine art and design named works furnishings chair woman girl reading writing printed matter boy newspaper - non-specific man miscellaneous , 8.4 , sitting hand/hands on hip standing embracing fleeing carrying reclining , 1.4285714285714286
resurrection , 1780 , 29 , 298 , 3.664429530201342 , 65 , 26 , woman man religious and ceremonial gravestone / tomb child girl boy man old flower figure , 10.2 , kneeling embracing crouching reclining standing flying looking up carrying watching lying down , 3.9
fertility , 1042 , 28 , 287 , 2.937282229965157 , 83 , 9 , woman food and drink man wooded vessels and containers female agriculture gardening & fishing basket star fruit apple , 9.4 , standing walking carrying sitting holding hands death reclining crouching hands clasped , 2.2222222222222223
exhilaration , 3465 , 28 , 183 , 2.978142076502732 , 22 , 3 , woman man clothing and personal effects hill religious and ceremonial cross robe scarf sea beach , 1.9 , smiling embracing watching , 1.0
dysfunction , 877 , 27 , 310 , 2.0903225806451613 , 73 , 9 , furnishings man woman miscellaneous electrical appliances chair table reading writing printed matter clothing and personal effects mirror , 4.3 , washing carrying watching crouching sitting kneeling standing waiting urinating , 1.0
revolutionary , 4372 , 27 , 270 , 3.0555555555555554 , 28 , 12 , man clothing and personal effects figure woman weapons hat dog - non-specific reading writing printed matter tools and machinery storm , 4.3 , sitting talking walking running crouching lying down carrying fleeing recoiling looking down , 1.3
hope , 11716 , 27 , 331 , 2.6465256797583083 , 82 , 12 , woman man reading writing printed matter boy religious and ceremonial river mountain cloud sea clothing and personal effects , 5.3 , watching sitting flying standing pointing floating looking up embracing sleeping lying down , 1.9
friendship , 657 , 26 , 289 , 2.8269896193771626 , 55 , 14 , man woman clothing and personal effects fine art and design named works furnishings boy spectacles girl sunlight fine arts and music , 6.0 , embracing sitting standing hand/hands on hip talking crouching head in hand/hands protecting holding hands walking , 2.6
militarism , 938 , 25 , 317 , 2.533123028391167 , 74 , 12 , man clothing and personal effects woman religious and ceremonial weapons female furnishings horse figure male , 4.4 , standing sitting holding hands protecting pointing lying down talking carrying running hand/hands raised , 1.4
void , 4357 , 24 , 125 , 2.832 , 28 , 0 , fine art and design named works shadow furnishings vessels and containers bucket figure man forest chair clothing and personal effects , 2.6 ,  , 0
courage , 1060 , 23 , 264 , 2.3295454545454546 , 51 , 9 , man woman weapons religious and ceremonial horse clothing and personal effects figure fine art and design named works sword weapon firing / explosion , 3.7 , standing carrying sitting sleeping talking rescuing walking supporting weeping , 1.3333333333333333
cosmos , 9592 , 23 , 148 , 2.97972972972973 , 38 , 3 , woman man sea male planet star weapons sun tools and machinery cloud , 2.2 , flying reclining standing , 1.3333333333333333
power , 3542 , 22 , 192 , 2.2395833333333335 , 30 , 10 , man woman clothing and personal effects suit female male horse hippopotamus sea monster star , 2.6 , crouching watching pointing reclining sitting walking kneeling lying down flying standing , 1.2
